fixture_id,side,team_id,team_name,team_assists,team_blocks,team_blocksReceived,team_efficiency,team_foulsTotal,team_freeThrowsAttempted,team_freeThrowsMade,team_freeThrowsPercentage,team_minutes,team_plusMinus,team_points,team_pointsThreeAttempted,team_pointsThreeMade,team_pointsThreePercentage,team_pointsTwoAttempted,team_pointsTwoMade,team_pointsTwoPercentage,team_rebounds,team_reboundsDefensive,team_reboundsOffensive,team_steals,team_turnovers
534fd914-6715-11f0-9f2a-9ffadebc148f,away,da0b634d-55bc-11f0-99f8-2dd52d4792f3,Nancy,19.0,3.0,3.0,,20.0,16.0,10.0,62.5,PT200M,,72.0,18.0,6.0,33.33,41.0,22.0,53.66,32.0,19.0,13.0,6.0,16.0
52bdd27c-6715-11f0-8a38-9ffadebc148f,home,989c44aa-55b7-11f0-990a-abf64778d398,Chalon/Saône,23.0,2.0,0.0,,25.0,15.0,11.0,73.33,PT200M,,86.0,28.0,11.0,39.29,36.0,21.0,58.33,35.0,26.0,9.0,6.0,14.0
52bdd27c-6715-11f0-8a38-9ffadebc148f,away,506c2d71-55bb-11f0-bf0b-8b5d06fe51cf,Gravelines-Dunkerque,17.0,0.0,2.0,,19.0,22.0,15.0,68.18,PT200M,,81.0,29.0,12.0,41.38,35.0,15.0,42.86,37.0,24.0,13.0,8.0,13.0
2f8d3917-6715-11f0-883b-3deba12f98c8,home,c3b5d870-55b5-11f0-9d0f-171bcde6f181,Boulazac,26.0,4.0,2.0,,19.0,34.0,26.0,76.47,PT200M,,94.0,28.0,8.0,28.57,35.0,22.0,62.86,46.0,34.0,12.0,5.0,7.0
2f8d3917-6715-11f0-883b-3deba12f98c8,away,9ebf8651-55bb-11f0-b6ad-2f4a48ae850a,Le Portel,13.0,2.0,4.0,,27.0,20.0,14.0,70.0,PT200M,,64.0,30.0,6.0,20.0,32.0,16.0,50.0,30.0,21.0,9.0,2.0,9.0
52672b67-6715-11f0-92bb-9ffadebc148f,home,506c2d71-55bb-11f0-bf0b-8b5d06fe51cf,Gravelines-Dunkerque,21.0,1.0,3.0,,23.0,18.0,12.0,66.67,PT200M,,77.0,35.0,9.0,25.71,38.0,19.0,50.0,33.0,22.0,11.0,4.0,5.0
52672b67-6715-11f0-92bb-9ffadebc148f,away,736b73ae-55bc-11f0-820e-2bf5ce89dac3,Monaco,20.0,3.0,1.0,,20.0,28.0,24.0,85.71,PT200M,,89.0,21.0,3.0,14.29,44.0,28.0,63.64,46.0,35.0,11.0,3.0,8.0
0d6cf96b-6715-11f0-85d5-27e6e78614e1,home,736b73ae-55bc-11f0-820e-2bf5ce89dac3,Monaco,16.0,7.0,1.0,,25.0,18.0,16.0,88.89,PT200M,,89.0,28.0,9.0,32.14,39.0,23.0,58.97,25.0,18.0,7.0,5.0,9.0
0d6cf96b-6715-11f0-85d5-27e6e78614e1,away,703aa4cc-55b7-11f0-8fb8-35ef9dc7437a,Bourg-en-Bresse,13.0,1.0,7.0,,21.0,29.0,26.0,89.66,PT200M,,91.0,32.0,11.0,34.38,37.0,16.0,43.24,49.0,26.0,23.0,4.0,14.0
2ef355cc-6715-11f0-a3d6-3deba12f98c8,home,238ad480-55b8-11f0-ada9-1b2b39c0d600,Dijon,20.0,0.0,1.0,,24.0,31.0,26.0,83.87,PT200M,,99.0,28.0,13.0,46.43,32.0,17.0,53.12,30.0,23.0,7.0,7.0,12.0
